Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.16,-0.02,0.04,63.7,-2.17,-17.43
-1.14,0.08,0.05,70.07,-12.46,-5.53
-1.12,0.22,0.07,72.24,-21.77,5.18
-1.13,0.31,0.08,67.97,-34.58,15.96
-1.16,0.38,0.09,64.19,-43.12,24.78
-1.24,0.45,0.09,64.96,-48.93,34.16
-1.36,0.53,0.12,68.88,-46.76,44.87
-1.51,0.6,0.14,72.45,-46.97,57.26
-1.65,0.59,0.13,73.92,-54.25,71.96
-1.69,0.44,0.1,73.92,-63.14,78.68
-1.62,0.22,-0.01,60.76,-66.85,86.59
-1.46,0.04,-0.21,32.62,-75.11,94.5
-1.18,-0.19,-0.36,4.69,-84.63,100.31
-0.94,-0.47,-0.36,10.08,-73.36,104.3
-0.83,-0.71,-0.39,14.98,-55.3,100.66
-0.86,-0.95,-0.5,12.67,-33.32,95.9
-1.02,-0.96,-0.64,-1.33,-21.07,92.75
-1.22,-0.88,-0.61,-20.16,-27.16,89.18
-1.3,-0.78,-0.49,-28.21,-46.41,85.89
-1.28,-0.76,-0.22,-35.91,-57.26,86.03
-1.09,-0.7,0.19,-33.81,-33.32,79.52
-1.08,-0.51,0.18,-32.9,-10.92,72.1
-1.09,-0.35,0.05,-28.84,1.68,70.07
-1.06,-0.34,-0.1,-21.42,-0.49,70.84
-0.95,-0.46,-0.19,-15.96,-8.75,72.17
-0.92,-0.58,-0.24,-7.35,-18.34,72.45
-0.8,-0.64,-0.11,-5.04,-22.26,76.44
-0.86,-0.71,-0.03,3.64,-15.05,75.74
-0.82,-0.66,-0.05,11.62,-22.54,80.71
-0.74,-0.56,0.02,-1.05,-22.12,82.39
-0.77,-0.51,0.05,3.99,-22.61,83.58
-0.78,-0.46,0.04,1.47,-23.45,83.86
-0.76,-0.39,0.08,-5.25,-20.02,80.08
-0.76,-0.34,0.1,-11.9,-17.99,73.5
-0.76,-0.32,0.08,-20.16,-20.23,69.72
-0.74,-0.33,0.05,-27.51,-22.89,67.34
-0.73,-0.34,0.04,-25.83,-20.72,63.84
-0.78,-0.32,0.02,-19.53,-13.09,56.49
-0.85,-0.31,-0.01,-20.51,-14.28,44.52
-0.83,-0.33,0,-25.97,-16.73,35.07
-0.78,-0.32,0,-33.18,-16.17,28.28
-0.74,-0.33,0.06,-33.53,-12.11,25.97
-0.71,-0.16,0,-40.04,-4.76,26.18
-0.71,-0.18,-0.03,-44.52,2.24,26.32
-0.77,-0.2,-0.02,-42.56,3.01,26.74
-0.81,-0.2,0.01,-40.25,1.4,26.53
-0.87,-0.18,0.04,-41.09,-0.84,29.12
-0.91,-0.15,0.05,-45.08,-4.48,27.09
-0.9,-0.2,0.09,-51.1,-6.65,17.85
-0.88,-0.3,0.16,-49.35,-8.75,8.82
-0.83,-0.25,0.21,-55.44,-1.89,4.83
-0.92,-0.04,0.19,-42.7,1.82,1.54
-0.96,0.1,0.16,-39.76,-3.36,-1.19
-0.96,0.18,0.15,-30.1,-5.32,1.12
-0.95,0.24,0.15,-17.15,-4.69,6.51
-0.94,0.25,0.16,-11.55,-1.54,13.3
-0.96,0.23,0.19,-12.11,-1.19,14.63
-0.95,0.2,0.18,-13.72,1.19,14.21
-0.95,0.19,0.15,-1.12,8.61,12.67
-1.03,0.25,0.17,-0.28,11.76,12.53
-1.08,0.29,0.21,-7.56,11.48,13.16
-1.09,0.3,0.19,-11.48,10.15,14.77
-1.06,0.29,0.12,-13.09,10.78,13.65
-1.03,0.27,0.07,-13.02,12.74,9.8
-1.01,0.24,0.07,-13.44,15.68,4.2
-1.01,0.19,0.09,-18.76,18.48,0.21
-0.99,0.14,0.08,-27.3,19.11,-3.29
-0.97,0.13,0.08,-37.38,21.14,-6.37
-0.95,0.14,0.04,-43.96,24.15,-11.2
-0.99,0.03,0.07,-40.39,24.22,-19.53
-1.23,-0.07,0.17,-39.83,11.34,-29.05
-1.41,-0.18,0.36,-42.77,-3.36,-32.48
-1.5,-0.14,0.51,-41.93,-18.69,-27.93
-1.37,-0.1,0.47,-46.62,-20.51,-23.73
-1.23,-0.14,0.12,-31.43,-4.06,-26.11
-1.17,-0.02,0.03,-22.12,13.16,-37.52
-1.12,0,-0.05,-13.86,35.84,-43.12
-1.13,-0.02,-0.08,0.56,63.14,-46.97
-1.1,-0.13,-0.11,18.48,79.66,-44.52
-0.93,-0.29,-0.15,50.33,75.46,-32.48
-0.68,-0.46,-0.22,74.48,67.83,-18.2
-0.52,-0.61,-0.34,83.37,47.67,-12.53
-0.47,-0.77,-0.25,67.69,28.98,-16.31
-0.61,-0.83,-0.15,35,4.97,-21.7
-0.95,-0.75,0.12,-4.06,2.52,-17.08
-1.12,-0.46,0.34,-19.74,9.38,-23.24
-1.11,-0.26,0.37,-1.75,30.52,-22.96
-1.23,0.01,0.2,27.72,40.46,-24.92
-1.21,0.18,-0.03,40.04,46.69,-25.69
-1.1,0.26,-0.3,37.52,45.92,-27.02
-0.88,0.27,-0.46,25.9,40.39,-29.33
-0.95,0.22,-0.54,10.78,26.04,-31.92
-0.85,0.05,-0.49,-1.75,21.35,-35.98
-0.81,-0.13,-0.35,1.54,28.49,-38.64
-0.95,-0.22,-0.18,-0.91,24.01,-43.05
-1.08,-0.31,-0.1,-5.25,12.39,-45.64
-1.04,-0.34,-0.06,-8.05,3.64,-50.54
-1,-0.33,-0.01,-9.94,5.53,-51.73
-0.98,-0.27,-0.01,-10.43,6.58,-52.57
-0.98,-0.19,-0.05,-4.83,4.34,-54.04
-0.99,-0.2,-0.1,1.75,6.3,-53.55
-1.03,-0.21,-0.16,2.1,1.82,-52.36
-1.02,-0.27,-0.16,5.53,1.4,-53.27
-0.98,-0.32,-0.14,10.22,7.98,-52.36
-0.96,-0.34,-0.1,14.07,9.52,-53.2
-0.93,-0.31,-0.05,19.39,13.02,-56.91
-0.92,-0.2,-0.04,16.31,11.55,-61.53
-0.92,-0.29,-0.01,18.41,11.9,-54.32
-0.93,-0.23,0,16.1,10.64,-52.43
-0.96,-0.2,-0.03,6.58,7.21,-47.39
-0.97,-0.17,-0.06,5.11,9.1,-45.57
-1.01,-0.14,-0.05,7.7,10.15,-45.78
-1.01,-0.13,-0.04,7.28,11.27,-47.32
-1.03,-0.07,-0.05,2.66,6.16,-41.65
-1,-0.06,-0.05,8.4,1.19,-45.71
-0.88,-0.1,-0.05,5.95,12.88,-45.64
-0.92,-0.09,-0.06,-0.35,11.76,-45.57
-0.92,-0.14,-0.06,-3.5,8.12,-46.27
-0.91,-0.19,-0.05,-6.37,11.13,-48.51
-0.94,-0.17,-0.07,-9.94,11.06,-50.68
-0.96,-0.14,-0.07,-10.5,8.4,-49.91
-0.99,-0.14,-0.06,-12.25,7.63,-49.7
-1,-0.13,-0.05,-13.02,7.42,-48.09
-1.01,-0.12,-0.05,-10.5,7.49,-45.78
-1.03,-0.11,-0.06,-5.88,7.98,-42.84
-1.06,-0.1,-0.05,2.66,8.4,-38.71
-1.09,-0.08,-0.06,9.17,6.65,-34.09
-1.09,-0.07,-0.03,17.15,6.23,-28.98
-1.09,-0.06,-0.01,24.85,3.36,-23.73
-1.08,-0.02,0.02,28.77,-0.07,-16.31
-1.04,-0.01,0.05,35.7,-1.89,-10.85
-1.04,-0.01,0.08,45.01,-4.2,-6.51
-1.05,-0.03,0.15,53.9,-7.28,-1.75
-1.07,-0.07,0.18,59.15,-9.24,3.85
-1.1,-0.07,0.19,66.92,-12.95,10.01
-1.18,-0.03,0.2,72.24,-17.29,20.23
-1.23,0.1,0.21,74.34,-24.71,29.54
-1.23,0.24,0.21,76.65,-33.74,40.11
-1.24,0.36,0.19,79.45,-34.65,52.57
-1.25,0.46,0.14,77.42,-34.09,68.46
-1.34,0.52,0.06,69.58,-37.45,87.85
-1.4,0.49,-0.07,61.67,-39.06,107.94
-1.47,0.35,-0.26,51.52,-36.33,127.4
-1.5,0.03,-0.47,31.57,-33.25,132.44
-1.39,-0.41,-0.69,-3.15,-25.62,131.88
-1.3,-0.81,-0.76,-14.21,-22.61,127.05
-1.23,-1.04,-0.74,9.45,-23.31,124.18
-1.2,-1.04,-0.63,35.63,-29.75,118.86
-1.21,-0.81,-0.47,46.34,-40.39,107.1
-1.15,-0.42,-0.15,32.55,-40.04,82.95
-0.98,-0.29,0.13,12.81,-27.44,64.54
-0.83,-0.38,0.28,9.31,-7.77,48.23
-0.89,-0.31,0.31,11.76,-4.97,45.99
-1.01,-0.33,0.16,14,2.94,42.7
-1.08,-0.32,0.01,-3.29,-6.44,45.29
-0.99,-0.52,-0.03,16.52,-11.13,51.03
-0.98,-0.5,0.08,14.21,-21.98,57.96
-0.82,-0.51,0.14,19.39,-24.36,64.61
-0.77,-0.48,0.13,23.59,-24.92,67.83
-0.75,-0.49,0.08,22.75,-28.98,69.65
-0.68,-0.49,0.05,24.92,-31.01,70.63
-0.72,-0.35,0.12,17.64,-32.48,68.53
-0.71,-0.34,0.13,17.29,-29.61,63
-0.74,-0.29,0.12,12.74,-27.58,55.86
-0.77,-0.28,0.11,7.56,-27.72,46.9
-0.74,-0.27,0.09,0.07,-27.37,36.47
-0.71,-0.25,0.07,-1.82,-24.71,27.58
-0.8,-0.14,-0.09,9.24,-18.76,20.86
-0.68,-0.29,0.02,0.98,-17.01,18.76
-0.72,-0.37,0.05,1.26,-15.19,11.06
-0.68,-0.4,0.01,-1.68,-9.31,7.98
-0.7,-0.4,0.01,-1.96,-3.22,3.15
-0.72,-0.39,0,3.01,0.7,-2.31
-0.8,-0.41,-0.06,16.31,1.89,-13.44
-0.72,-0.24,0,13.93,3.08,-22.89
-0.69,-0.23,0.02,10.15,9.52,-24.22
-0.88,0,-0.03,1.12,0.91,-30.17
-0.86,-0.09,0.02,-2.52,-1.75,-32.9
-0.88,-0.03,0.05,6.37,2.87,-25.62
-0.93,0.06,0.07,11.55,-1.68,-23.24
-0.97,0.05,0.07,9.73,-6.72,-21.35
-1,0.06,0.14,6.02,-11.2,-16.52
-1.02,0.15,0.17,-2.94,-11.55,-11.83
-1.06,0.2,0.25,-12.6,-9.73,-9.87
-1.1,0.3,0.31,-15.05,-7.7,-9.24
-1.17,0.41,0.35,-14.14,-7.07,-10.5
-1.25,0.52,0.35,-12.04,-10.22,-11.13
-1.26,0.64,0.25,-11.2,-7.21,-8.68
-1.26,0.73,0.38,4.9,3.5,-0.56
-1.32,0.71,0.38,14.63,1.47,4.48
-1.34,0.69,0.28,17.01,2.1,5.81
-1.32,0.64,0.14,7.84,3.36,9.87
-1.26,0.5,0.07,-3.22,3.57,13.86
-1.13,0.31,0.11,0.63,8.47,15.19
-1.02,0.13,0.08,3.22,14.35,9.73
-0.99,-0.11,0.04,-0.07,18.97,-0.98
-1.04,-0.38,0.05,-3.92,22.96,-14.56
-1.16,-0.46,0.16,-3.99,18.9,-14.63
-1.2,-0.29,0.27,-2.45,13.16,-4.06
-1.19,-0.04,0.26,-17.5,2.87,9.45
-1.22,0,0.02,-19.74,-2.59,12.74
-1.2,0,-0.15,-19.95,-0.98,7.28
-1.12,-0.03,-0.09,-20.79,7.77,-6.51
-1,-0.11,0.01,-14.7,24.78,-20.23
-0.83,-0.23,-0.02,3.85,41.51,-34.09
-0.7,-0.37,-0.1,22.47,40.6,-38.15
-0.6,-0.57,-0.18,45.08,34.3,-27.58
-0.51,-0.72,-0.21,66.43,27.16,-15.33
-0.51,-0.79,-0.23,89.11,27.72,-19.95
-0.6,-0.92,-0.19,109.9,49.49,-36.68
-0.88,-0.78,0,88.55,54.88,-41.58
-1.25,-0.56,0.15,45.43,40.74,-38.29
-1.28,-0.37,0.17,28.98,31.71,-36.26
-1.21,-0.18,0.13,35.63,34.23,-38.29
-1.32,0.06,-0.31,42.14,11.97,-48.44
-1.57,0.47,-0.44,-8.68,-63,-81.13
-0.82,0.04,-0.33,-2.1,-20.3,-56.91
-0.71,-0.04,-0.37,16.38,15.26,-49.63
-0.88,-0.07,-0.36,22.19,19.46,-50.75
-0.91,-0.18,-0.2,-10.22,17.36,-50.47
-0.92,-0.29,-0.17,-37.45,19.04,-48.79
-0.93,-0.42,-0.02,-51.1,21.14,-49.84
-0.97,-0.47,0.06,-44.17,21.07,-53.69
-0.95,-0.41,0.09,-17.22,19.81,-55.37
-0.92,-0.35,0.07,11.83,21.35,-57.12
-0.94,-0.26,-0.02,31.29,24.57,-56.28
-1,-0.22,-0.05,37.94,25.2,-55.93
-0.99,-0.2,-0.12,34.58,24.85,-55.09
-1,-0.2,-0.1,27.65,20.65,-53.97
-1,-0.19,-0.1,25.55,20.02,-53.13
-1,-0.16,-0.09,22.61,16.38,-52.01
-1.01,-0.13,-0.1,17.64,11.76,-50.82
-0.97,-0.12,-0.1,11.76,8.82,-50.75
-0.92,-0.15,-0.07,12.25,9.59,-50.82
-0.9,-0.1,-0.02,13.23,12.88,-50.12
-0.91,-0.1,-0.05,12.81,13.72,-49.49
-0.92,-0.16,-0.07,14.91,15.12,-49.28
-0.93,-0.21,-0.06,17.29,17.36,-48.37
-0.93,-0.23,-0.06,18.13,17.57,-48.02
-0.94,-0.23,-0.08,18.69,16.38,-48.09
-0.92,-0.18,-0.07,14.63,15.61,-46.9
-0.9,-0.17,-0.08,9.59,14.28,-45.43
-0.92,-0.14,-0.08,5.11,13.44,-44.66
-0.96,-0.14,-0.09,-1.47,11.2,-43.96
-1,-0.16,-0.1,-7,7.42,-44.03
-1.03,-0.18,-0.09,-11.97,3.36,-45.71
-1.02,-0.17,-0.06,-16.03,2.1,-48.37
-1,-0.16,-0.06,-19.11,3.15,-50.4
-0.99,-0.17,-0.06,-20.93,6.23,-51.87
-0.96,-0.18,-0.08,-20.3,10.36,-54.39
-0.94,-0.18,-0.09,-17.29,14.77,-56.42
-0.95,-0.18,-0.1,-12.95,19.46,-57.05
-1,-0.18,-0.1,-6.02,22.12,-55.79
-1.06,-0.15,-0.1,-0.7,21.14,-52.5
-1.11,-0.12,-0.12,1.89,13.37,-46.76
-1.13,-0.05,-0.09,1.96,4.34,-39.2
-1.1,0,-0.02,3.29,1.82,-30.31
-1.07,0.04,0.07,10.92,0.84,-20.72
-1.08,0.05,0.16,23.38,-4.06,-12.6
-1.12,0.04,0.19,35.7,-10.36,-0.7
-1.12,0,0.28,53.06,-23.24,7.56
-1.16,0.07,0.39,70.21,-11.2,17.43
-1.25,0.05,-0.05,-1.26,-25.34,-1.47
-1.29,0.12,0.21,1.82,-26.53,7.07
-1.38,0.19,0.42,18.13,-38.99,13.72
-1.46,0.23,0.56,49.42,-54.46,28.14
-1.42,0.31,0.52,86.17,-57.75,42.49
-1.42,0.38,0.39,101.08,-58.66,55.65
-1.38,0.36,0.16,81.34,-57.05,67.9
-1.35,0.25,-0.04,52.5,-58.1,81.69
-1.28,0.13,-0.16,35.21,-58.17,95.55
-1.18,0.08,-0.28,18.83,-49.56,109.06
-1.11,-0.17,-0.43,2.24,-44.73,112.84
-1.16,-0.45,-0.53,-22.12,-54.39,115.57
-1.07,-0.69,-0.5,-18.06,-51.17,119
-1.08,-0.81,-0.59,-3.43,-39.83,117.67
-1.18,-0.72,-0.71,-3.92,-33.88,116.27
-1.16,-0.62,-0.67,-23.8,-40.67,117.53
-1.19,-0.64,-0.51,-37.52,-40.39,117.11
-1.2,-0.76,-0.38,-26.18,-37.66,105.07
-1.02,-0.72,-0.3,-15.68,-33.74,101.57
-1.03,-0.57,-0.27,-2.38,-25.48,104.65
-1.12,-0.56,-0.25,11.34,-25.27,106.61
-1.04,-0.67,-0.23,19.11,-29.33,108.57
-0.9,-0.73,-0.22,17.01,-31.15,113.75
-0.84,-0.69,-0.19,10.64,-30.31,122.15
-0.78,-0.58,-0.13,8.33,-31.15,123.2
-0.83,-0.51,-0.08,3.78,-33.39,119.56
-0.81,-0.48,-0.06,-3.15,-37.17,113.61
-0.75,-0.47,-0.08,-8.75,-41.58,108.15
-0.68,-0.5,-0.13,-10.85,-45.08,102.9
-0.65,-0.49,-0.14,-13.65,-47.88,97.09
-0.66,-0.49,-0.16,-19.81,-49.49,91.56
-0.66,-0.51,-0.14,-28.28,-49.63,85.68
-0.61,-0.56,-0.13,-35.28,-46.48,78.12
-0.6,-0.57,-0.15,-44.59,-43.33,67.27
-0.59,-0.6,-0.2,-50.61,-38.08,56
-0.66,-0.58,-0.18,-55.23,-31.15,43.75
-0.73,-0.42,-0.12,-56.28,-24.15,25.69
-0.6,-0.42,-0.27,-60.69,-28.56,14.63
-0.35,-0.56,-0.27,-50.12,-27.58,16.38
-0.39,-0.53,-0.26,-31.29,-10.01,11.41
-0.41,-0.53,-0.19,-23.31,-8.47,7
-0.5,-0.55,-0.1,-13.65,-2.52,10.85
-0.67,-0.47,-0.05,3.36,-0.14,18.34
-0.79,-0.22,0.01,9.38,-3.36,24.92
-0.92,-0.13,0.01,2.38,-6.23,24.43
-1.04,-0.08,0.15,-1.33,-1.54,23.1
-1.12,0.13,0.35,-11.2,8.61,25.41
-1.3,0.38,0.51,-13.93,8.68,20.23
-1.4,0.66,0.53,-13.3,-9.17,14.49
-1.45,0.91,0.55,-12.11,-22.54,10.5
-1.42,1.13,0.57,1.75,-21.35,12.32
-1.4,1.38,0.54,13.44,-12.6,18.9
-1.4,1.42,0.4,15.33,-11.13,24.15
-1.3,1.14,0.24,14.14,-10.78,26.32
-1.2,0.72,0.09,9.45,-8.19,27.44
-1.09,0.36,0.01,2.1,-8.54,27.3
-0.97,-0.08,-0.02,-6.16,-11.9,22.12
-0.87,-0.25,-0.03,-20.37,-8.68,13.16
-0.77,-0.46,-0.12,-36.26,5.04,-4.9
-0.75,-0.66,-0.16,-48.86,23.52,-27.44
-0.94,-0.73,-0.06,-55.37,28.56,-43.89
-1.14,-0.68,0.13,-48.16,20.02,-28.63
-1.18,-0.19,0.25,-40.88,10.22,-18.9
-1.2,0.08,0.35,-17.85,4.97,-21.07
-1.15,0.03,0.29,1.47,20.44,-32.48
-1.15,-0.03,0.28,8.12,56.77,-52.08
-1.14,-0.1,0.27,9.66,80.71,-61.32
-1,-0.25,0.12,23.8,90.16,-51.66
-0.88,-0.41,-0.23,50.26,81.9,-32.69
-0.68,-0.69,-0.61,90.3,74.2,-0.49
-0.46,-0.9,-0.72,149.24,93.1,-23.31
-0.46,-0.89,-0.79,170.38,108.08,-39.83
-0.73,-0.79,-0.74,133.77,92.47,-64.19
-1.1,-0.77,-0.38,90.02,88.48,-61.25
-1.47,-0.5,-0.25,67.55,59.36,-39.69
-1.34,-0.04,-0.2,26.25,20.02,-36.75
-1.02,0.1,-0.33,0.56,9.66,-51.66
-0.94,0.06,-0.39,-10.15,15.4,-62.65
-1.11,-0.01,-0.44,0.98,28.63,-68.95
-1.08,-0.12,-0.4,6.37,30.31,-73.99
-1.06,-0.2,-0.37,16.52,27.79,-81.2
-0.99,-0.22,-0.34,24.99,26.67,-88.2
-0.93,-0.25,-0.35,29.47,20.65,-93.66
-0.89,-0.3,-0.32,35.56,14.63,-97.58
-0.91,-0.33,-0.3,38.29,10.22,-98.28
-0.99,-0.36,-0.28,43.26,3.08,-97.02
-1.1,-0.3,-0.21,43.47,-3.08,-93.03
-1.17,-0.26,-0.29,33.74,-15.75,-80.15
-1.13,-0.18,-0.3,10.85,-24.15,-67.83
-1.08,-0.13,-0.28,-18.48,-23.8,-61.6
-0.97,-0.13,-0.2,-31.5,-14,-60.27
-0.91,-0.14,-0.13,-37.94,16.17,-57.96
-0.82,-0.21,-0.1,-35.7,12.39,-56.14
-0.74,-0.35,-0.07,-26.6,18.55,-51.87
-0.77,-0.46,-0.01,-18.48,22.26,-46.83
-0.83,-0.54,0.09,-4.27,23.87,-47.39
-0.95,-0.49,0.13,13.72,18.41,-49.49
-0.91,-0.37,0.09,37.59,14,-52.78
-0.72,-0.28,0,55.09,11.83,-52.71
-0.48,-0.19,-0.13,49,17.78,-54.46
-0.78,-0.08,-0.19,40.95,33.74,-57.54
-0.87,-0.11,-0.19,33.67,26.04,-55.09
-0.98,-0.13,-0.27,16.1,18.06,-55.79
-1.15,-0.14,-0.26,9.24,21.56,-56.35
-1.23,-0.13,-0.24,3.92,15.68,-56.98
-1.14,-0.14,-0.21,0.42,7.98,-59.64
-1.01,-0.13,-0.14,0.77,10.01,-62.02
-1.02,-0.15,-0.04,3.29,16.66,-62.51
-0.99,-0.15,0.01,9.17,13.65,-61.04
-0.97,-0.14,-0.04,11.76,12.53,-58.03
-0.95,-0.1,-0.07,16.66,12.95,-51.38
-1.02,-0.07,-0.09,17.5,12.39,-43.68
-1.11,-0.04,-0.04,21.98,11.06,-35.07
-1.12,-0.03,-0.03,29.4,3.15,-27.44
-1.1,-0.01,-0.07,30.87,-3.99,-21.28
-1.12,0.04,-0.11,30.45,-6.86,-16.94
-1.12,0.05,-0.12,27.44,-10.64,-13.93
-1.1,-0.02,-0.13,25.34,-12.6,-12.25
-1.1,-0.1,-0.12,24.5,-14,-8.61
-1.19,-0.19,-0.08,24.71,-16.24,-1.75
-1.28,-0.22,0.05,31.43,-21.84,4.69
-1.4,-0.13,0.23,46.34,-31.08,10.43
-1.43,0,0.4,70.35,-37.03,15.82
-1.42,0.19,0.4,93.45,-37.45,26.25
-1.4,0.39,0.31,105.77,-38.08,37.8
-1.35,0.52,0.19,106.19,-41.3,54.88
-1.31,0.65,0.07,90.93,-43.47,74.9
-1.32,0.68,-0.08,51.66,-46.2,91.91
-1.35,0.58,-0.36,3.08,-47.6,108.15
-1.34,0.34,-0.3,-27.37,-58.1,120.4
-1.31,-0.16,-0.28,-16.31,-60.2,130.34
-1.26,-0.58,-0.4,-5.11,-59.36,126.49
-1.19,-0.92,-0.56,5.39,-36.26,113.33
-1.22,-1.06,-0.59,-0.49,-14.63,98.35
-1.1,-1.11,-0.6,-10.99,-19.04,97.16
-0.93,-0.94,-0.54,-3.92,-26.18,97.72
-0.89,-0.69,-0.5,-8.19,-28,93.73
-0.94,-0.51,-0.42,-24.57,-25.41,83.44
-1.02,-0.49,-0.36,-31.92,-24.01,73.43
-1.11,-0.36,-0.22,-25.13,-25.9,71.96
-1.09,-0.31,-0.03,-17.99,-22.96,72.73
-1.08,-0.34,0.01,-12.46,-23.59,77.84
-1,-0.49,-0.04,-5.25,-28.35,82.95
-0.89,-0.61,-0.02,1.47,-28.63,90.86
-0.77,-0.72,-0.01,8.12,-26.53,99.26
-0.7,-0.72,-0.03,12.39,-24.08,106.68
-0.7,-0.67,-0.06,10.22,-24.57,111.3
-0.73,-0.59,-0.08,7.07,-26.88,115.08
-0.73,-0.5,-0.1,8.26,-28.42,116.27
-0.73,-0.37,-0.06,7.42,-27.23,114.87
-0.7,-0.25,-0.03,3.64,-25.69,109.62
-0.73,-0.18,-0.04,-1.96,-29.4,102.06
-0.74,-0.19,-0.08,-4.13,-29.68,91.21
-0.72,-0.22,-0.08,-4.69,-30.38,77.07
-0.75,-0.26,-0.06,-12.11,-25.97,62.37
-0.78,-0.32,-0.02,-19.53,-19.95,48.3
-0.78,-0.36,0.05,-30.59,-14.84,35.56
-0.79,-0.36,0.08,-43.68,-9.66,20.79
-0.77,-0.32,0.05,-49.63,-2.03,11.34
-0.77,-0.26,0.02,-49.98,4.48,4.76
-0.74,-0.26,0,-45.78,6.79,-1.54
-0.72,-0.29,0.01,-39.69,9.94,-7
-0.73,-0.3,0.03,-33.74,12.53,-8.75
-0.78,-0.25,0.09,-26.32,11.97,-6.79
-0.72,-0.11,0.16,-20.79,7.63,-3.01
-0.78,0.03,0.04,-19.46,11.13,3.29
-0.77,0.06,0.07,-17.71,6.65,9.17
-0.84,0.11,0.15,-15.05,3.08,12.67
-0.98,0.26,0.27,-12.46,-4.55,15.89
-1.09,0.41,0.37,-15.89,-3.29,16.17
-1.22,0.71,0.38,-20.02,-4.27,15.68
-1.32,0.77,0.37,-23.94,-10.29,16.17
-1.46,0.89,0.29,-26.11,-25.83,17.85
-1.35,0.94,0.3,-25.13,-29.47,15.54
-1.31,0.96,0.26,-23.52,-29.68,13.93
-1.28,0.93,0.19,-25.41,-26.6,10.57
-1.23,0.78,0.13,-32.2,-21.84,8.12
-1.14,0.49,0.09,-43.89,-17.99,4.34
-1.04,0.24,0.04,-59.15,-15.26,-2.38
-0.89,-0.01,-0.03,-71.68,-12.32,-12.88
-0.74,-0.25,-0.1,-80.78,-7.49,-25.9
-0.66,-0.49,-0.19,-82.67,-2.45,-41.02
-0.6,-0.69,-0.28,-81.97,3.57,-58.52
-0.55,-0.86,-0.23,-66.57,22.96,-72.94
-0.61,-0.84,-0.14,-35.21,43.89,-90.02
-0.83,-0.73,0.03,-1.33,50.05,-84.77
-1.24,-0.47,0.22,28.42,40.39,-65.59
-1.43,-0.33,0.31,31.92,30.73,-38.71
-1.48,-0.32,0.3,24.92,36.68,-13.51
-1.53,-0.27,0.25,21.56,57.19,-4.48
-1.61,-0.24,0.26,29.61,83.37,-11.97
